name,seller,offerType,price,abtest,vehicleType,yearOfRegistration,gearbox,powerPS,model,kilometer,monthOfRegistration,fuelType,brand
Golf_3_1.6,privat,Angebot,480,test,,1993,manuell,0,golf,150000,0,benzin,volkswagen
A5_Sportback_2.7_Tdi,privat,Angebot,18300,test,coupe,2011,manuell,190,,125000,5,diesel,audi
"Jeep_Grand_Cherokee_""Overland""",privat,Angebot,9800,test,suv,2004,automatik,163,grand,125000,8,diesel,jeep
GOLF_4_1_4__3TÜRER,privat,Angebot,1500,test,kleinwagen,2001,manuell,75,golf,150000,6,benzin,volkswagen
Skoda_Fabia_1.4_TDI_PD_Classic,privat,Angebot,3600,test,kleinwagen,2008,manuell,69,fabia,90000,7,diesel,skoda
BMW_316i___e36_Limousine___Bastlerfahrzeug__Export,privat,Angebot,650,test,limousine,1995,manuell,102,3er,150000,10,benzin,bmw
Peugeot_206_CC_110_Platinum,privat,Angebot,2200,test,cabrio,2004,manuell,109,2_reihe,150000,8,benzin,peugeot
VW_Derby_Bj_80__Scheunenfund,privat,Angebot,0,test,limousine,1980,manuell,50,andere,40000,7,benzin,volkswagen
Ford_C___Max_Titanium_1_0_L_EcoBoost,privat,Angebot,14500,control,bus,2014,manuell,125,c_max,30000,8,benzin,ford
VW_Golf_4_5_tuerig_zu_verkaufen_mit_Anhaengerkupplung,privat,Angebot,999,test,kleinwagen,1998,manuell,101,golf,150000,0,,volkswagen
Mazda_3_1.6_Sport,privat,Angebot,2000,control,limousine,2004,manuell,105,3_reihe,150000,12,benzin,mazda
Volkswagen_Passat_Variant_2.0_TDI_Comfortline,privat,Angebot,2799,control,kombi,2005,manuell,140,passat,150000,12,diesel,volkswagen
"VW_Passat_Facelift_35i__""7Sitzer""",privat,Angebot,999,control,kombi,1995,manuell,115,passat,150000,11,benzin,volkswagen
VW_PASSAT_1.9_TDI_131_PS_LEDER,privat,Angebot,2500,control,kombi,2004,manuell,131,passat,150000,2,,volkswagen
Nissan_Navara_2.5DPF_SE4x4_Klima_Sitzheizg_Bluetooth.Doppelkabine,privat,Angebot,17999,control,suv,2011,manuell,190,navara,70000,3,diesel,nissan
KA_Lufthansa_Edition_450€_VB,privat,Angebot,450,test,kleinwagen,1910,,0,ka,5000,0,benzin,ford
Polo_6n_1_4,privat,Angebot,300,test,,2016,,60,polo,150000,0,benzin,volkswagen
Renault_Twingo_1.2_16V_Aut.,privat,Angebot,1750,control,kleinwagen,2004,automatik,75,twingo,150000,2,benzin,renault
Ford_C_MAX_2.0_TDCi_DPF_Titanium,privat,Angebot,7550,test,bus,2007,manuell,136,c_max,150000,6,diesel,ford
Mercedes_Benz_A_160_Classic_Klima,privat,Angebot,1850,test,bus,2004,manuell,102,a_klasse,150000,1,benzin,mercedes_benz
Volkswagen_Scirocco_1.4_TSI_Sport,privat,Angebot,10400,control,coupe,2009,manuell,160,scirocco,100000,4,benzin,volkswagen
BMW_530i_TÜV_7/17_Scheckheftgepflegt_sehr_guter_Zustand,privat,Angebot,3699,test,limousine,2002,automatik,231,5er,150000,7,benzin,bmw
Opel_Meriva_1.Hand_TÜV_3.2018,privat,Angebot,2900,test,,2018,manuell,90,meriva,150000,5,benzin,opel
Stadtflitzer,privat,Angebot,450,test,kleinwagen,1997,manuell,50,arosa,150000,5,benzin,seat
MERCEDES_200E__TÜV_04/2016,privat,Angebot,500,test,limousine,1990,manuell,118,andere,150000,10,benzin,mercedes_benz
BMW_530d_touring_Vollausstattung_NAVI,privat,Angebot,2500,control,kombi,2002,automatik,193,5er,150000,9,diesel,bmw
Citroen_C4_Grand_Picasso.,privat,Angebot,5555,control,,2017,manuell,125,c4,125000,4,,citroen
Honda_Civic_1.4_i_VTEC_Comfort,privat,Angebot,6900,test,limousine,2008,manuell,99,civic,60000,11,benzin,honda
Volkswagen_T3_andere,privat,Angebot,1990,test,bus,1981,manuell,50,transporter,5000,1,benzin,volkswagen
Fiat_Punto_1.2,privat,Angebot,690,test,kleinwagen,2003,manuell,60,punto,150000,3,benzin,fiat
Mercedes_Benz_E_250_D_Original_Zustand_!!,privat,Angebot,3300,test,limousine,1995,automatik,113,e_klasse,150000,1,diesel,mercedes_benz
Renault_clio_1.2_TÜV_07/2016,privat,Angebot,899,control,,2016,manuell,60,clio,150000,6,benzin,renault
Golf_3_....._1.4,privat,Angebot,245,test,limousine,1994,,0,golf,150000,2,benzin,volkswagen
BMW_325i_Aut.,privat,Angebot,18000,test,limousine,2007,automatik,218,3er,20000,5,benzin,bmw
Mercedes_Benz_E_200_CDI_Automatik_Classic,privat,Angebot,3500,control,limousine,2004,automatik,122,e_klasse,150000,11,diesel,mercedes_benz
VW_Golf_3,privat,Angebot,350,test,,2016,manuell,75,golf,150000,4,benzin,volkswagen
Opel_Kadett_E_CC,privat,Angebot,1600,control,andere,1991,manuell,75,kadett,70000,0,,opel
Renault_Kangoo_1.9_Diesel,privat,Angebot,1500,test,,2016,,0,kangoo,150000,1,diesel,renault
Abschleppwagen_Vw_LT_195.000_gruene_Plakette_TÜV_8/2017,privat,Angebot,11900,test,andere,2002,manuell,129,andere,150000,11,diesel,volkswagen
Mercedes_Camper_D407,privat,Angebot,1500,test,bus,1984,manuell,70,andere,150000,8,diesel,mercedes_benz
Suche_Opel_corsa_a_zu_verschenken,privat,Angebot,0,test,,1990,,0,corsa,150000,1,benzin,opel
E_500_Avantgarde_AMG_Ausstattung,privat,Angebot,7500,control,limousine,2002,automatik,306,e_klasse,150000,4,,mercedes_benz
BMW_E60_530XD,privat,Angebot,12500,test,limousine,2006,automatik,231,5er,150000,11,diesel,bmw
Mini_One_Pepper_Scheckheftgepflegt,privat,Angebot,6990,test,limousine,2007,manuell,95,one,100000,8,benzin,mini
Smart_For_two_Klima_regensensor_uSw,privat,Angebot,3900,test,kleinwagen,2008,automatik,61,fortwo,80000,6,benzin,smart
Renault_Clio_1.4,privat,Angebot,590,control,kleinwagen,1999,manuell,75,clio,125000,8,benzin,renault
BMW_120d_DPF,privat,Angebot,7999,control,limousine,2007,manuell,177,1er,150000,8,diesel,bmw
BMW_528i_touring,privat,Angebot,2100,test,kombi,1998,automatik,193,5er,150000,2,benzin,bmw
VW_Golf_6___Klima___Alu___Scheckheft_!!!,privat,Angebot,7750,control,,2017,manuell,80,golf,100000,1,benzin,volkswagen
Mercedes_Benz_B180_Automatik,privat,Angebot,13500,test,bus,2012,automatik,109,b_klasse,150000,7,diesel,mercedes_benz
BMW_120i_Cabrio_mit_M_Paket,privat,Angebot,14800,control,cabrio,2008,manuell,170,1er,125000,4,benzin,bmw
Fiat_punto_5_tuerer__6_gang,privat,Angebot,2000,control,,2017,manuell,90,punto,150000,11,diesel,fiat
Verkaufe_meinen_kleinen_wegen_neu_Anschaffung,privat,Angebot,1400,control,,2016,manuell,55,andere,5000,1,,hyundai
Bmw_318_d_Sport_Edition_Facelift,privat,Angebot,7999,control,limousine,2008,automatik,143,3er,150000,12,diesel,bmw
Opel_signum_1.9_cdti,privat,Angebot,4700,control,kombi,2005,manuell,0,signum,150000,0,,opel
auto_opel_astra,privat,Angebot,550,test,kombi,1999,manuell,0,astra,150000,8,diesel,opel
BMW_435i_Sport_coupe,privat,Angebot,39600,test,coupe,2014,automatik,306,andere,30000,7,benzin,bmw
